"year","simulation","dormancy","source","population","pop_size","pop_size_repro","log_meanChangeAboveground","log_lambda"
2012,1,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,1,"Natural","Projected","SierraCarboneraY5",1382,11,0.578423974974268,-1.76312466277032
2014,1,"Natural","Projected","SierraCarboneraY5",808,383,-0.53672494580652,3.19867311755068
2015,1,"Natural","Projected","SierraCarboneraY5",503,184,-0.473971888421356,0.216922277958396
2016,1,"Natural","Projected","SierraCarboneraY5",569,56,0.123290264026592,0.120048364091243
2017,1,"Natural","Projected","SierraCarboneraY5",151,35,-1.32660059731141,-0.170645686109989
2018,1,"Natural","Projected","SierraCarboneraY5",93,60,-0.484680343661668,-0.104241074970446
2019,1,"Natural","Projected","SierraCarboneraY5",65,33,-0.358212223257619,-0.128255209512419
2020,1,"Natural","Projected","SierraCarboneraY5",24,10,-0.996333439547691,-0.138204527274588
2021,1,"Natural","Projected","SierraCarboneraY5",7,5,-1.23214368129263,-0.173478983888595
2022,1,"Natural","Projected","SierraCarboneraY5",2,2,-1.25276296849537,-0.164859137426422
2012,2,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,2,"Natural","Projected","SierraCarboneraY5",1416,16,0.602728244900318,-1.75182510751639
2014,2,"Natural","Projected","SierraCarboneraY5",806,383,-0.563507531747037,3.24527651342034
2015,2,"Natural","Projected","SierraCarboneraY5",510,154,-0.457673016788257,0.12378893490108
2016,2,"Natural","Projected","SierraCarboneraY5",591,58,0.147405291687727,0.117125938833784
2017,2,"Natural","Projected","SierraCarboneraY5",138,39,-1.45456233224889,-0.173436436595856
2018,2,"Natural","Projected","SierraCarboneraY5",99,63,-0.332133835022615,-0.0909940459531224
2019,2,"Natural","Projected","SierraCarboneraY5",52,29,-0.643876131553162,-0.128483487728924
2020,2,"Natural","Projected","SierraCarboneraY5",28,6,-0.619039208406224,-0.120629232197331
2021,2,"Natural","Projected","SierraCarboneraY5",9,4,-1.13497993283898,-0.169822992440209
2022,2,"Natural","Projected","SierraCarboneraY5",4,2,-0.810930216216329,-0.161629967635976
2012,3,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,3,"Natural","Projected","SierraCarboneraY5",1397,8,0.589219329903615,-1.75772799559816
2014,3,"Natural","Projected","SierraCarboneraY5",808,375,-0.547520300735866,3.15438610053072
2015,3,"Natural","Projected","SierraCarboneraY5",522,147,-0.436894470638457,0.190500984711644
2016,3,"Natural","Projected","SierraCarboneraY5",594,58,0.129211731480006,0.172856670903313
2017,3,"Natural","Projected","SierraCarboneraY5",185,42,-1.16652349428432,-0.15280771060013
2018,3,"Natural","Projected","SierraCarboneraY5",113,69,-0.492968006365984,-0.0911888358353793
2019,3,"Natural","Projected","SierraCarboneraY5",85,45,-0.284736562222024,-0.0827704242403882
2020,3,"Natural","Projected","SierraCarboneraY5",40,10,-0.75377180237638,-0.0930591069410667
2021,3,"Natural","Projected","SierraCarboneraY5",11,6,-1.29098418131557,-0.167772196920605
2022,3,"Natural","Projected","SierraCarboneraY5",6,6,-0.606135803570316,-0.157960500710192
2012,4,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,4,"Natural","Projected","SierraCarboneraY5",1356,10,0.559431439146994,-1.76258368358482
2014,4,"Natural","Projected","SierraCarboneraY5",782,369,-0.55043972795503,3.14315403717355
2015,4,"Natural","Projected","SierraCarboneraY5",446,152,-0.561535788525247,0.22566987629763
2016,4,"Natural","Projected","SierraCarboneraY5",599,52,0.294942646095385,0.107637124495418
2017,4,"Natural","Projected","SierraCarboneraY5",159,28,-1.32635739589522,-0.166265481232822
2018,4,"Natural","Projected","SierraCarboneraY5",110,66,-0.368423836427815,-0.0864209877552491
2019,4,"Natural","Projected","SierraCarboneraY5",90,35,-0.200670695462151,-0.0840098505246819
2020,4,"Natural","Projected","SierraCarboneraY5",47,9,-0.649662068620206,-0.0864729937648183
2021,4,"Natural","Projected","SierraCarboneraY5",14,5,-1.2110902720948,-0.166441574116492
2022,4,"Natural","Projected","SierraCarboneraY5",5,5,-1.02961941718116,-0.164338588525417
2012,5,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,5,"Natural","Projected","SierraCarboneraY5",1341,16,0.548307853928331,-1.76909482975682
2014,5,"Natural","Projected","SierraCarboneraY5",796,378,-0.521571697437295,3.18307657897841
2015,5,"Natural","Projected","SierraCarboneraY5",441,140,-0.590554310397537,0.299092687850982
2016,5,"Natural","Projected","SierraCarboneraY5",607,56,0.319483915612652,0.118039593213132
2017,5,"Natural","Projected","SierraCarboneraY5",158,35,-1.34593375803253,-0.170603729532533
2018,5,"Natural","Projected","SierraCarboneraY5",97,57,-0.487884054523584,-0.104130580289812
2019,5,"Natural","Projected","SierraCarboneraY5",66,32,-0.385056236476957,-0.107012528975398
2020,5,"Natural","Projected","SierraCarboneraY5",20,4,-1.19392246847243,-0.130095486232472
2021,5,"Natural","Projected","SierraCarboneraY5",7,3,-1.04982212449868,-0.167408256620736
2022,5,"Natural","Projected","SierraCarboneraY5",4,3,-0.559615787935423,-0.16798779652885
2012,6,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,6,"Natural","Projected","SierraCarboneraY5",1363,15,0.564580402343186,-1.75450391972641
2014,6,"Natural","Projected","SierraCarboneraY5",792,374,-0.542882039882107,3.26970763939974
2015,6,"Natural","Projected","SierraCarboneraY5",505,157,-0.450002962539066,0.127080895935955
2016,6,"Natural","Projected","SierraCarboneraY5",610,69,0.188900527891997,0.132691330131975
2017,6,"Natural","Projected","SierraCarboneraY5",172,51,-1.2659644803539,-0.175218145452275
2018,6,"Natural","Projected","SierraCarboneraY5",121,59,-0.351703931216712,-0.0716054402391957
2019,6,"Natural","Projected","SierraCarboneraY5",89,41,-0.307154175864601,-0.117221977833842
2020,6,"Natural","Projected","SierraCarboneraY5",23,4,-1.35314215380299,-0.12068197035226
2021,6,"Natural","Projected","SierraCarboneraY5",7,2,-1.18958406687384,-0.167158575323538
2022,6,"Natural","Projected","SierraCarboneraY5",3,2,-0.847297860387204,-0.16968662691508
2012,7,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,7,"Natural","Projected","SierraCarboneraY5",1349,7,0.554255826854409,-1.79613095923849
2014,7,"Natural","Projected","SierraCarboneraY5",779,376,-0.549107810337008,3.26161812207748
2015,7,"Natural","Projected","SierraCarboneraY5",478,140,-0.488400313379292,0.258852608482617
2016,7,"Natural","Projected","SierraCarboneraY5",607,64,0.238918058568042,0.115126522188141
2017,7,"Natural","Projected","SierraCarboneraY5",155,41,-1.36510367414025,-0.172468913355593
2018,7,"Natural","Projected","SierraCarboneraY5",109,70,-0.352077234690103,-0.0932130934246262
2019,7,"Natural","Projected","SierraCarboneraY5",72,42,-0.414681763213088,-0.108640147648297
2020,7,"Natural","Projected","SierraCarboneraY5",33,6,-0.780158557549575,-0.0995024183885045
2021,7,"Natural","Projected","SierraCarboneraY5",10,3,-1.19392246847243,-0.159545881577647
2022,7,"Natural","Projected","SierraCarboneraY5",7,3,-0.356674943938732,-0.161867054435378
2012,8,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,8,"Natural","Projected","SierraCarboneraY5",1389,18,0.583476313400997,-1.75826635361924
2014,8,"Natural","Projected","SierraCarboneraY5",804,382,-0.546740073575377,3.21473154645078
2015,8,"Natural","Projected","SierraCarboneraY5",472,140,-0.532620283593411,0.220106478085169
2016,8,"Natural","Projected","SierraCarboneraY5",614,58,0.263015942561587,0.0539046070174178
2017,8,"Natural","Projected","SierraCarboneraY5",143,34,-1.45715029788724,-0.176016545521888
2018,8,"Natural","Projected","SierraCarboneraY5",106,52,-0.29940553614784,-0.0883939836638861
2019,8,"Natural","Projected","SierraCarboneraY5",88,36,-0.186102279633861,-0.101253382509994
2020,8,"Natural","Projected","SierraCarboneraY5",34,8,-0.950976289862045,-0.12077144777629
2021,8,"Natural","Projected","SierraCarboneraY5",7,2,-1.58045037556085,-0.175035074315002
2022,8,"Natural","Projected","SierraCarboneraY5",4,3,-0.559615787935423,-0.168750182161905
2012,9,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,9,"Natural","Projected","SierraCarboneraY5",1340,10,0.54756186359161,-1.78004184657578
2014,9,"Natural","Projected","SierraCarboneraY5",788,377,-0.530926803087078,3.2085864161714
2015,9,"Natural","Projected","SierraCarboneraY5",456,143,-0.547005280343493,0.152560702705961
2016,9,"Natural","Projected","SierraCarboneraY5",565,51,0.214332921632055,0.118932312395953
2017,9,"Natural","Projected","SierraCarboneraY5",156,29,-1.2869697238969,-0.171160689023241
2018,9,"Natural","Projected","SierraCarboneraY5",102,64,-0.424883193965266,-0.0998208910475679
2019,9,"Natural","Projected","SierraCarboneraY5",96,42,-0.0606246218164349,-0.0879920259342546
2020,9,"Natural","Projected","SierraCarboneraY5",31,5,-1.13036098698269,-0.128625945639942
2021,9,"Natural","Projected","SierraCarboneraY5",5,3,-1.82454929205105,-0.169320468541428
2022,9,"Natural","Projected","SierraCarboneraY5",3,3,-0.510825623765991,-0.166412159817652
2012,10,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,10,"Natural","Projected","SierraCarboneraY5",1380,12,0.576975748797903,-1.76042268868659
2014,10,"Natural","Projected","SierraCarboneraY5",799,381,-0.546477832384976,3.22828634464213
2015,10,"Natural","Projected","SierraCarboneraY5",454,151,-0.565263747724927,0.199869430509823
2016,10,"Natural","Projected","SierraCarboneraY5",611,56,0.296999761130247,0.109615227807
2017,10,"Natural","Projected","SierraCarboneraY5",148,35,-1.41788468540748,-0.173923805793208
2018,10,"Natural","Projected","SierraCarboneraY5",122,56,-0.193191229030858,-0.0772471591479389
2019,10,"Natural","Projected","SierraCarboneraY5",82,42,-0.397301797469004,-0.11183457298355
2020,10,"Natural","Projected","SierraCarboneraY5",32,8,-0.940983344464527,-0.132610075010831
2021,10,"Natural","Projected","SierraCarboneraY5",6,1,-1.67397643357167,-0.168106083733961
2022,10,"Natural","Projected","SierraCarboneraY5",2,2,-1.09861228866811,-0.169422840399398
2012,11,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,11,"Natural","Projected","SierraCarboneraY5",1373,8,0.571890376414624,-1.75988316884615
2014,11,"Natural","Projected","SierraCarboneraY5",766,367,-0.58357123602738,3.2690314713009
2015,11,"Natural","Projected","SierraCarboneraY5",460,142,-0.509955680257451,0.190092138350034
2016,11,"Natural","Projected","SierraCarboneraY5",581,53,0.23352426736877,0.127387372207809
2017,11,"Natural","Projected","SierraCarboneraY5",158,34,-1.30215572382494,-0.173126390509034
2018,11,"Natural","Projected","SierraCarboneraY5",134,62,-0.164755233076055,-0.0592313262701139
2019,11,"Natural","Projected","SierraCarboneraY5",89,38,-0.409203430218771,-0.127304989822759
2020,11,"Natural","Projected","SierraCarboneraY5",38,7,-0.851050210005754,-0.105191678883349
2021,11,"Natural","Projected","SierraCarboneraY5",9,5,-1.44036158239017,-0.163515296758301
2022,11,"Natural","Projected","SierraCarboneraY5",5,3,-0.587786664902119,-0.168174784096836
2012,12,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,12,"Natural","Projected","SierraCarboneraY5",1401,15,0.59207851698366,-1.75236029618316
2014,12,"Natural","Projected","SierraCarboneraY5",849,387,-0.50088236002566,3.2222534120378
2015,12,"Natural","Projected","SierraCarboneraY5",491,186,-0.547615058516827,0.223442281712249
2016,12,"Natural","Projected","SierraCarboneraY5",579,41,0.164858349778475,0.120650098050163
2017,12,"Natural","Projected","SierraCarboneraY5",158,34,-1.29870744454603,-0.1692789849029
2018,12,"Natural","Projected","SierraCarboneraY5",111,60,-0.353064831714633,-0.0685974681416013
2019,12,"Natural","Projected","SierraCarboneraY5",81,38,-0.315081046639895,-0.109529276122103
2020,12,"Natural","Projected","SierraCarboneraY5",42,10,-0.65677953638907,-0.121469994582654
2021,12,"Natural","Projected","SierraCarboneraY5",15,3,-1.02961941718116,-0.166276315634531
2022,12,"Natural","Projected","SierraCarboneraY5",4,3,-1.32175583998232,-0.160815716054355
2012,13,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,13,"Natural","Projected","SierraCarboneraY5",1391,16,0.584915162570096,-1.73906576376263
2014,13,"Natural","Projected","SierraCarboneraY5",795,390,-0.559436077269111,3.20545280453606
2015,13,"Natural","Projected","SierraCarboneraY5",489,168,-0.48597962517946,0.305295981770782
2016,13,"Natural","Projected","SierraCarboneraY5",618,59,0.234125967982819,0.0941976769531851
2017,13,"Natural","Projected","SierraCarboneraY5",161,35,-1.34508409247323,-0.166691161798567
2018,13,"Natural","Projected","SierraCarboneraY5",133,68,-0.191055236762709,-0.0783459206355897
2019,13,"Natural","Projected","SierraCarboneraY5",86,37,-0.436001831968246,-0.106190732326776
2020,13,"Natural","Projected","SierraCarboneraY5",30,10,-1.05314991459135,-0.12308244343647
2021,13,"Natural","Projected","SierraCarboneraY5",8,3,-1.32175583998232,-0.165368585008356
2022,13,"Natural","Projected","SierraCarboneraY5",5,3,-0.470003629245736,-0.15831192356137
2012,14,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,14,"Natural","Projected","SierraCarboneraY5",1396,11,0.588503253968971,-1.76042268868659
2014,14,"Natural","Projected","SierraCarboneraY5",807,378,-0.548042615052369,3.21050848219796
2015,14,"Natural","Projected","SierraCarboneraY5",492,154,-0.494844951777641,0.275791638389493
2016,14,"Natural","Projected","SierraCarboneraY5",650,81,0.278493646397375,0.126250040987304
2017,14,"Natural","Projected","SierraCarboneraY5",151,47,-1.45969252607476,-0.16569414678846
2018,14,"Natural","Projected","SierraCarboneraY5",100,52,-0.412109650826833,-0.099691876038625
2019,14,"Natural","Projected","SierraCarboneraY5",89,32,-0.116533816255952,-0.0836028800267582
2020,14,"Natural","Projected","SierraCarboneraY5",39,7,-0.825074723602493,-0.109124661485075
2021,14,"Natural","Projected","SierraCarboneraY5",16,5,-0.890972923889865,-0.162516220861695
2022,14,"Natural","Projected","SierraCarboneraY5",8,6,-0.693147180559945,-0.170425854063707
2012,15,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,15,"Natural","Projected","SierraCarboneraY5",1398,23,0.589934893440409,-1.74118104747044
2014,15,"Natural","Projected","SierraCarboneraY5",808,382,-0.54823586427266,3.22476632950203
2015,15,"Natural","Projected","SierraCarboneraY5",489,161,-0.502199569046223,0.198404204725119
2016,15,"Natural","Projected","SierraCarboneraY5",579,53,0.168939988098123,0.0917272904988562
2017,15,"Natural","Projected","SierraCarboneraY5",171,43,-1.21963892107034,-0.170871312996075
2018,15,"Natural","Projected","SierraCarboneraY5",106,72,-0.478224462390593,-0.0995830424343208
2019,15,"Natural","Projected","SierraCarboneraY5",80,42,-0.281412459438185,-0.108420012814283
2020,15,"Natural","Projected","SierraCarboneraY5",39,10,-0.718464988544235,-0.110382947739961
2021,15,"Natural","Projected","SierraCarboneraY5",8,2,-1.58412010444981,-0.166696836312224
2022,15,"Natural","Projected","SierraCarboneraY5",5,5,-0.470003629245736,-0.167871082682677
2012,16,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,16,"Natural","Projected","SierraCarboneraY5",1393,12,0.586351944426459,-1.76258368358482
2014,16,"Natural","Projected","SierraCarboneraY5",796,369,-0.559615787935423,3.20946445096905
2015,16,"Natural","Projected","SierraCarboneraY5",455,149,-0.559301766893433,0.211457788145561
2016,16,"Natural","Projected","SierraCarboneraY5",582,55,0.246173028780487,0.0784656123719256
2017,16,"Natural","Projected","SierraCarboneraY5",162,38,-1.27887411249905,-0.174589202887388
2018,16,"Natural","Projected","SierraCarboneraY5",98,58,-0.502628856561812,-0.102445911437745
2019,16,"Natural","Projected","SierraCarboneraY5",83,39,-0.166126870873974,-0.109161980342044
2020,16,"Natural","Projected","SierraCarboneraY5",25,2,-1.1999647829284,-0.115405427273819
2021,16,"Natural","Projected","SierraCarboneraY5",5,NA,-1.6094379124341,-0.170602924202479
2022,16,"Natural","Projected","SierraCarboneraY5",4,4,-0.22314355131421,-0.167781761746379
2012,17,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,17,"Natural","Projected","SierraCarboneraY5",1431,12,0.613265750203104,-1.74595685914795
2014,17,"Natural","Projected","SierraCarboneraY5",829,391,-0.545908624421156,3.24377599246139
2015,17,"Natural","Projected","SierraCarboneraY5",567,173,-0.379860851407543,0.258517506072131
2016,17,"Natural","Projected","SierraCarboneraY5",634,50,0.111689650709474,0.144433288874452
2017,17,"Natural","Projected","SierraCarboneraY5",165,39,-1.34610348053665,-0.170704871741523
2018,17,"Natural","Projected","SierraCarboneraY5",128,72,-0.253915209980963,-0.0784303178163882
2019,17,"Natural","Projected","SierraCarboneraY5",98,47,-0.267062785249045,-0.0862723676973587
2020,17,"Natural","Projected","SierraCarboneraY5",53,14,-0.61467556511845,-0.0822613759753081
2021,17,"Natural","Projected","SierraCarboneraY5",20,5,-0.974559639998131,-0.163457205976395
2022,17,"Natural","Projected","SierraCarboneraY5",14,7,-0.356674943938732,-0.165875605845861
2012,18,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,18,"Natural","Projected","SierraCarboneraY5",1396,8,0.588503253968971,-1.77291266913648
2014,18,"Natural","Projected","SierraCarboneraY5",788,376,-0.571868193464439,3.2413535380248
2015,18,"Natural","Projected","SierraCarboneraY5",422,140,-0.624492775821867,0.208356408346328
2016,18,"Natural","Projected","SierraCarboneraY5",616,59,0.378241649497508,0.12415415490988
2017,18,"Natural","Projected","SierraCarboneraY5",156,38,-1.37339095628398,-0.164106017308845
2018,18,"Natural","Projected","SierraCarboneraY5",114,54,-0.313657558855042,-0.0637153391317694
2019,18,"Natural","Projected","SierraCarboneraY5",81,36,-0.341749293722057,-0.107943052217582
2020,18,"Natural","Projected","SierraCarboneraY5",46,11,-0.565807758183344,-0.102724276812598
2021,18,"Natural","Projected","SierraCarboneraY5",14,8,-1.18958406687384,-0.169313972630604
2022,18,"Natural","Projected","SierraCarboneraY5",8,6,-0.559615787935423,-0.161741099273782
2012,19,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,19,"Natural","Projected","SierraCarboneraY5",1373,12,0.571890376414624,-1.75826635361924
2014,19,"Natural","Projected","SierraCarboneraY5",795,373,-0.546411291113639,3.24410154460604
2015,19,"Natural","Projected","SierraCarboneraY5",483,148,-0.498325461001759,0.205706484126065
2016,19,"Natural","Projected","SierraCarboneraY5",581,54,0.184734103199339,0.0867007077800074
2017,19,"Natural","Projected","SierraCarboneraY5",177,40,-1.18860102427808,-0.17187181496531
2018,19,"Natural","Projected","SierraCarboneraY5",115,74,-0.431217604210579,-0.106540383525317
2019,19,"Natural","Projected","SierraCarboneraY5",96,51,-0.180583936895414,-0.0940061962608648
2020,19,"Natural","Projected","SierraCarboneraY5",41,7,-0.850776124763528,-0.109337570537022
2021,19,"Natural","Projected","SierraCarboneraY5",8,5,-1.63413052502447,-0.165069337285835
2022,19,"Natural","Projected","SierraCarboneraY5",3,3,-0.980829253011726,-0.164230348745158
2012,20,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,20,"Natural","Projected","SierraCarboneraY5",1385,20,0.580592389268092,-1.74861997656744
2014,20,"Natural","Projected","SierraCarboneraY5",820,383,-0.52415107836314,3.21213314400081
2015,20,"Natural","Projected","SierraCarboneraY5",477,154,-0.541787849369958,0.193127084222626
2016,20,"Natural","Projected","SierraCarboneraY5",612,69,0.249215791623985,0.046021717606142
2017,20,"Natural","Projected","SierraCarboneraY5",149,33,-1.41278597656687,-0.166468578910097
2018,20,"Natural","Projected","SierraCarboneraY5",98,57,-0.418978827274887,-0.0861293650742907
2019,20,"Natural","Projected","SierraCarboneraY5",89,31,-0.0963311089384321,-0.0943245539772913
2020,20,"Natural","Projected","SierraCarboneraY5",38,16,-0.851050210005754,-0.0953819475638858
2021,20,"Natural","Projected","SierraCarboneraY5",12,7,-1.15267950993839,-0.155085327000196
2022,20,"Natural","Projected","SierraCarboneraY5",12,7,0,-0.15688943802063
2012,21,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,21,"Natural","Projected","SierraCarboneraY5",1373,5,0.571890376414624,-1.76204299689958
2014,21,"Natural","Projected","SierraCarboneraY5",818,388,-0.517891069165224,3.20837766831025
2015,21,"Natural","Projected","SierraCarboneraY5",461,154,-0.573464293606099,0.223811931914118
2016,21,"Natural","Projected","SierraCarboneraY5",560,64,0.194538740732546,0.0915761459196063
2017,21,"Natural","Projected","SierraCarboneraY5",144,45,-1.35812348415319,-0.172856948018338
2018,21,"Natural","Projected","SierraCarboneraY5",109,66,-0.278465417346857,-0.0849843504312017
2019,21,"Natural","Projected","SierraCarboneraY5",87,38,-0.22543976357456,-0.11492242958007
2020,21,"Natural","Projected","SierraCarboneraY5",46,8,-0.637266722165489,-0.106170747775766
2021,21,"Natural","Projected","SierraCarboneraY5",13,5,-1.26369203902756,-0.169954314638051
2022,21,"Natural","Projected","SierraCarboneraY5",7,7,-0.619039208406224,-0.168774596356931
2012,22,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,22,"Natural","Projected","SierraCarboneraY5",1359,15,0.561641384797797,-1.77127466713224
2014,22,"Natural","Projected","SierraCarboneraY5",816,386,-0.510090059187037,3.24695577207807
2015,22,"Natural","Projected","SierraCarboneraY5",545,173,-0.403628560300863,0.283743709831708
2016,22,"Natural","Projected","SierraCarboneraY5",653,56,0.180791334613187,0.126645952637733
2017,22,"Natural","Projected","SierraCarboneraY5",156,41,-1.43172112202689,-0.154723258936255
2018,22,"Natural","Projected","SierraCarboneraY5",101,60,-0.434735490408278,-0.112542927713513
2019,22,"Natural","Projected","SierraCarboneraY5",85,40,-0.172469260350943,-0.118870843463169
2020,22,"Natural","Projected","SierraCarboneraY5",41,12,-0.729079189786009,-0.119760158175874
2021,22,"Natural","Projected","SierraCarboneraY5",8,4,-1.63413052502447,-0.167431909331545
2022,22,"Natural","Projected","SierraCarboneraY5",7,5,-0.133531392624523,-0.170409240105609
2012,23,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,23,"Natural","Projected","SierraCarboneraY5",1370,17,0.569702989468824,-1.74861997656744
2014,23,"Natural","Projected","SierraCarboneraY5",792,396,-0.548004627007745,3.161834110101
2015,23,"Natural","Projected","SierraCarboneraY5",527,177,-0.407360843273063,0.246608075588053
2016,23,"Natural","Projected","SierraCarboneraY5",592,57,0.116306086342643,0.186507468790656
2017,23,"Natural","Projected","SierraCarboneraY5",159,32,-1.31460243266377,-0.168838546463253
2018,23,"Natural","Projected","SierraCarboneraY5",108,58,-0.386772975096012,-0.093506677819928
2019,23,"Natural","Projected","SierraCarboneraY5",106,38,-0.0186921330121525,-0.0780835078457402
2020,23,"Natural","Projected","SierraCarboneraY5",34,7,-1.13707856949591,-0.119885045703922
2021,23,"Natural","Projected","SierraCarboneraY5",7,4,-1.58045037556085,-0.165001202214751
2022,23,"Natural","Projected","SierraCarboneraY5",7,5,0,-0.163063292694872
2012,24,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,24,"Natural","Projected","SierraCarboneraY5",1371,14,0.570432650208967,-1.77729383715205
2014,24,"Natural","Projected","SierraCarboneraY5",829,393,-0.503075524427019,3.19770937006756
2015,24,"Natural","Projected","SierraCarboneraY5",525,160,-0.456821892543671,0.172459047599346
2016,24,"Natural","Projected","SierraCarboneraY5",562,52,0.0681035873020674,0.124174676828442
2017,24,"Natural","Projected","SierraCarboneraY5",150,31,-1.32086655579744,-0.161805411037558
2018,24,"Natural","Projected","SierraCarboneraY5",86,52,-0.556287997842748,-0.107053664042792
2019,24,"Natural","Projected","SierraCarboneraY5",65,29,-0.279960026357871,-0.113237962736561
2020,24,"Natural","Projected","SierraCarboneraY5",32,6,-0.70865136709591,-0.134316764503552
2021,24,"Natural","Projected","SierraCarboneraY5",17,2,-0.63252255874351,-0.160104621051517
2022,24,"Natural","Projected","SierraCarboneraY5",7,7,-0.887303195000903,-0.167152446931479
2012,25,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,25,"Natural","Projected","SierraCarboneraY5",1362,18,0.563846457356111,-1.7588050016258
2014,25,"Natural","Projected","SierraCarboneraY5",749,382,-0.597970503192238,3.16724218218762
2015,25,"Natural","Projected","SierraCarboneraY5",475,158,-0.455424179482578,0.201557421439458
2016,25,"Natural","Projected","SierraCarboneraY5",539,48,0.126400766874356,0.112059113260643
2017,25,"Natural","Projected","SierraCarboneraY5",133,25,-1.39936644268724,-0.175192444605441
2018,25,"Natural","Projected","SierraCarboneraY5",93,42,-0.357749635068498,-0.0872862599639774
2019,25,"Natural","Projected","SierraCarboneraY5",72,28,-0.255933374137201,-0.12547800373854
2020,25,"Natural","Projected","SierraCarboneraY5",18,4,-1.38629436111989,-0.132372668208434
2021,25,"Natural","Projected","SierraCarboneraY5",3,NA,-1.79175946922805,-0.167310335211638
2012,26,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,26,"Natural","Projected","SierraCarboneraY5",1377,9,0.574799469375308,-1.76746306436892
2014,26,"Natural","Projected","SierraCarboneraY5",782,370,-0.565807758183344,3.20691325342491
2015,26,"Natural","Projected","SierraCarboneraY5",467,148,-0.515525482876414,0.229560338501445
2016,26,"Natural","Projected","SierraCarboneraY5",580,47,0.216698845871568,0.0824746187543888
2017,26,"Natural","Projected","SierraCarboneraY5",164,31,-1.26316167571627,-0.158742674919299
2018,26,"Natural","Projected","SierraCarboneraY5",122,63,-0.295845383090942,-0.0844152881693687
2019,26,"Natural","Projected","SierraCarboneraY5",95,34,-0.250144153132716,-0.108070426765014
2020,26,"Natural","Projected","SierraCarboneraY5",33,3,-1.05736933013406,-0.119271352644909
2021,26,"Natural","Projected","SierraCarboneraY5",8,2,-1.41706601978664,-0.161615573377643
2022,26,"Natural","Projected","SierraCarboneraY5",3,1,-0.980829253011726,-0.169155273351915
2012,27,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,27,"Natural","Projected","SierraCarboneraY5",1404,10,0.594217555232409,-1.7588050016258
2014,27,"Natural","Projected","SierraCarboneraY5",795,381,-0.568738469931425,3.14461200502709
2015,27,"Natural","Projected","SierraCarboneraY5",450,158,-0.569094531889967,0.237785479195844
2016,27,"Natural","Projected","SierraCarboneraY5",594,57,0.27763173659828,0.115888145490634
2017,27,"Natural","Projected","SierraCarboneraY5",157,41,-1.33063351401434,-0.162508383750563
2018,27,"Natural","Projected","SierraCarboneraY5",98,62,-0.471278326677736,-0.102246401364989
2019,27,"Natural","Projected","SierraCarboneraY5",75,47,-0.267479365134262,-0.111550507194699
2020,27,"Natural","Projected","SierraCarboneraY5",27,13,-1.02165124753198,-0.116329741019506
2021,27,"Natural","Projected","SierraCarboneraY5",12,8,-0.810930216216329,-0.163413685814877
2022,27,"Natural","Projected","SierraCarboneraY5",6,5,-0.693147180559945,-0.167791040156417
2012,28,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,28,"Natural","Projected","SierraCarboneraY5",1396,9,0.588503253968971,-1.75826635361924
2014,28,"Natural","Projected","SierraCarboneraY5",813,384,-0.540635173774507,3.25323822887041
2015,28,"Natural","Projected","SierraCarboneraY5",496,148,-0.494155182822883,0.204336432331161
2016,28,"Natural","Projected","SierraCarboneraY5",563,60,0.126703701414763,0.111768403581917
2017,28,"Natural","Projected","SierraCarboneraY5",160,41,-1.25810581290586,-0.167051326126184
2018,28,"Natural","Projected","SierraCarboneraY5",96,57,-0.510825623765991,-0.0869412876256621
2019,28,"Natural","Projected","SierraCarboneraY5",73,35,-0.273888750319445,-0.119064980473464
2020,28,"Natural","Projected","SierraCarboneraY5",29,9,-0.923163611161917,-0.129924615017584
